Date,Region/City,case
2020-03-08,Bangladesh,3
2020-03-09,Bangladesh,3
2020-03-10,Bangladesh,3
2020-03-11,Bangladesh,3
2020-03-12,Bangladesh,3
2020-03-13,Bangladesh,3
2020-03-14,Bangladesh,3
2020-03-15,Bangladesh,5
2020-03-16,Bangladesh,8
2020-03-17,Bangladesh,10
2020-03-18,Bangladesh,14
2020-03-19,Bangladesh,17
2020-03-20,Bangladesh,20
2020-03-21,Bangladesh,25
2020-03-22,Bangladesh,27
2020-03-23,Bangladesh,33
2020-03-24,Bangladesh,39
2020-03-25,Bangladesh,39
2020-03-26,Bangladesh,44
2020-03-27,Bangladesh,48
2020-03-28,Bangladesh,48
2020-03-29,Bangladesh,48
2020-03-30,Bangladesh,49
2020-03-31,Bangladesh,51
2020-04-01,Bangladesh,54
2020-04-02,Bangladesh,56
2020-04-03,Bangladesh,61
2020-04-04,Bangladesh,70
2020-04-05,Bangladesh,88
2020-04-06,Bangladesh,123
2020-04-07,Bangladesh,164
2020-04-08,Bangladesh,218
2020-04-09,Bangladesh,330
2020-04-10,Bangladesh,424
2020-04-11,Bangladesh,482
2020-04-12,Bangladesh,621
2020-04-13,Bangladesh,803
2020-04-14,Bangladesh,1012
2020-04-15,Bangladesh,1231
2020-04-16,Bangladesh,1572
2020-04-17,Bangladesh,1838
2020-04-18,Bangladesh,2144
2020-04-19,Bangladesh,2456
2020-04-20,Bangladesh,2948
2020-04-21,Bangladesh,3382
2020-04-22,Bangladesh,3772
2020-04-23,Bangladesh,4186
2020-04-24,Bangladesh,4689
2020-04-25,Bangladesh,4998
2020-04-26,Bangladesh,5416
2020-04-27,Bangladesh,5913
2020-04-28,Bangladesh,6462
2020-04-29,Bangladesh,7103
2020-04-30,Bangladesh,7667
2020-05-01,Bangladesh,8238
2020-05-02,Bangladesh,8790
2020-05-03,Bangladesh,9455
2020-05-04,Bangladesh,10143
2020-05-05,Bangladesh,10929
2020-05-06,Bangladesh,11719
2020-05-07,Bangladesh,12425
2020-05-08,Bangladesh,13134
2020-05-09,Bangladesh,13770
2020-05-10,Bangladesh,14657
2020-05-11,Bangladesh,15691
2020-05-12,Bangladesh,16660
2020-05-13,Bangladesh,17822
2020-05-14,Bangladesh,18863
2020-05-15,Bangladesh,20065
2020-05-16,Bangladesh,20995
2020-05-17,Bangladesh,22268
2020-05-18,Bangladesh,23870
2020-05-19,Bangladesh,25121
2020-05-20,Bangladesh,26738
2020-05-21,Bangladesh,28511
2020-05-22,Bangladesh,30205
2020-05-23,Bangladesh,32078
2020-05-24,Bangladesh,33610
2020-05-25,Bangladesh,35585
2020-05-26,Bangladesh,36751
2020-05-27,Bangladesh,38292
2020-05-28,Bangladesh,40321
2020-05-29,Bangladesh,42844
2020-05-30,Bangladesh,44608
2020-05-31,Bangladesh,47153
2020-06-01,Bangladesh,49534
2020-06-02,Bangladesh,52445
2020-06-03,Bangladesh,55140
2020-06-04,Bangladesh,57563
2020-06-05,Bangladesh,60391
2020-06-06,Bangladesh,63026
2020-06-07,Bangladesh,65769
2020-06-08,Bangladesh,68504
2020-06-09,Bangladesh,71675
2020-06-10,Bangladesh,74865
2020-06-11,Bangladesh,78052
2020-06-12,Bangladesh,81523
2020-06-13,Bangladesh,84379
2020-06-14,Bangladesh,87520
2020-06-15,Bangladesh,90619
2020-06-16,Bangladesh,94481
2020-06-17,Bangladesh,98489
2020-06-18,Bangladesh,102292
2020-06-19,Bangladesh,105535
2020-06-20,Bangladesh,108775
2020-06-21,Bangladesh,112306
2020-06-22,Bangladesh,115786
2020-06-23,Bangladesh,119198
2020-06-24,Bangladesh,122660
2020-06-25,Bangladesh,126606
2020-06-26,Bangladesh,130474
2020-06-27,Bangladesh,133978
2020-06-28,Bangladesh,137787
2020-06-29,Bangladesh,141801
2020-06-30,Bangladesh,145483
2020-07-01,Bangladesh,149258
2020-07-02,Bangladesh,153277
2020-07-03,Bangladesh,156391
2020-07-04,Bangladesh,159679
2020-07-05,Bangladesh,162417
2020-07-06,Bangladesh,165618
2020-07-07,Bangladesh,168645
2020-07-08,Bangladesh,172134
2020-07-09,Bangladesh,175494
2020-07-10,Bangladesh,178443
2020-07-11,Bangladesh,181129
2020-07-12,Bangladesh,183795
2020-07-13,Bangladesh,186894
2020-07-14,Bangladesh,190057
2020-07-15,Bangladesh,193590
2020-07-16,Bangladesh,196323
2020-07-17,Bangladesh,199357
2020-07-18,Bangladesh,202066
2020-07-19,Bangladesh,204525
2020-07-20,Bangladesh,207453
2020-07-21,Bangladesh,210510